no,ch1,ch2,ch3,ch4
457,0.0003051758,-0.01464844,0.004882813,0.02319336
458,-0.001525879,-0.01831055,-0.01617432,0.006713867
459,-0.002746582,0.0003051758,-0.01495361,-0.0112915
460,-0.0189209,-0.01647949,-0.03356934,-0.03936768
461,-0.03326416,-0.0302124,-0.04180908,-0.04486084
462,-0.04486084,-0.03479004,-0.02960205,-0.02929688
463,-0.04180908,-0.03356934,-0.02441406,-0.008850098
464,-0.03479004,-0.02288818,-0.007629395,0.01159668
465,-0.02044678,-0.01678467,-0.009155273,0.008239746
466,-0.01251221,-0.02075195,-0.008239746,0.001831055
467,-0.006713867,-0.009765625,-0.007019043,-0.002441406
468,-0.0177002,-0.01800537,-0.02380371,-0.02105713
469,-0.03204346,-0.0201416,-0.02227783,-0.01647949
470,-0.03845215,-0.03540039,-0.03265381,-0.01434326
471,-0.03265381,-0.03173828,-0.0213623,-0.00213623
